,val/acc,val/f1,test/acc,test/f1,Task,Model,Subject,Category
285,0.6914893617021277,0.6912435924443509,0.6797752808988764,0.6778780587567508,LR,csp,S1,C2
286,0.4730538922155688,0.4711989813476495,0.5112359550561798,0.5110662613878283,LR,csp,S10,C3
287,0.5368421052631579,0.4326315789473684,0.5027932960893855,0.3774219839166069,LR,csp,S11,C2
288,0.6211180124223602,0.6176543883612137,0.622093023255814,0.6194415388580901,LR,csp,S12,C3
289,0.6480446927374302,0.6476044321660663,0.7071823204419889,0.7061961306513707,LR,csp,S13,C3
290,0.7916666666666666,0.7883184523809522,0.7962085308056872,0.7964100098449984,LR,csp,S14,C2
291,0.5,0.4863328668132872,0.4577114427860697,0.4508372285427586,LR,csp,S15,C2
292,0.7032258064516129,0.6987868762062311,0.5961538461538461,0.5858612197595249,LR,csp,S16,C3
293,0.664179104477612,0.6637108917517149,0.7692307692307693,0.7598557692307694,LR,csp,S17,C3
294,0.5704697986577181,0.5687579029277308,0.547945205479452,0.543683753796566,LR,csp,S18,C3
295,0.5074626865671642,0.4959414926894385,0.5297297297297298,0.5156787039139981,LR,csp,S19,C2
296,0.8018867924528302,0.8022586863795745,0.6981132075471698,0.6911219141064767,LR,csp,S2,C1
297,0.9315068493150684,0.9314682253579152,0.9183673469387756,0.918565336582394,LR,csp,S20,C1
298,0.4945054945054945,0.4815440969287123,0.5384615384615384,0.487635834688115,LR,csp,S21,C3
299,0.6082474226804123,0.6081641419454379,0.5411764705882353,0.5416890509869636,LR,csp,S22,C3
300,0.7985074626865671,0.7975944055944056,0.8195488721804511,0.819096922634455,LR,csp,S23,C2
301,0.5428571428571428,0.5391131391131392,0.5251396648044693,0.510127004345531,LR,csp,S24,C3
302,0.7032967032967034,0.7039480032162959,0.695906432748538,0.6953230797831338,LR,csp,S25,C2
303,0.5550239234449761,0.514061478090255,0.5523809523809524,0.5043478260869565,LR,csp,S26,C2
304,0.5723684210526315,0.5664246383509407,0.5107913669064749,0.5058889597183013,LR,csp,S27,C3
305,0.908653846153846,0.9089370207211616,0.8529411764705882,0.8529270402768433,LR,csp,S28,C1
306,0.5352112676056338,0.5086481941874016,0.4626168224299065,0.4326460356134162,LR,csp,S29,C2
307,0.5,0.4947706038209454,0.4948453608247423,0.4944129116954323,LR,csp,S3,C3
308,0.8488888888888889,0.848733153638814,0.8607594936708861,0.8600821303077769,LR,csp,S30,C1
309,0.6013986013986014,0.5950612859218991,0.4186046511627907,0.3893135814126211,LR,csp,S31,C3
310,0.5,0.4954515919428201,0.6538461538461539,0.6470467032967032,LR,csp,S32,C3
311,0.5031055900621118,0.4734830387004299,0.5302013422818792,0.5101158743336102,LR,csp,S33,C3
312,0.7125,0.7125898577902797,0.7329192546583851,0.732773904592893,LR,csp,S34,C3
313,0.7216494845360825,0.7209079283887468,0.6878306878306878,0.6737294226655929,LR,csp,S35,C2
314,0.8493150684931506,0.8492899003312188,0.8744769874476988,0.8744638022573046,LR,csp,S36,C1
315,0.5260663507109005,0.3907565608896849,0.4805194805194805,0.3310657596371882,LR,csp,S38,C1
316,0.8385093167701864,0.8385093167701864,0.7612903225806451,0.7611909471685393,LR,csp,S39,C1
317,0.8097826086956522,0.8085957021489255,0.8074866310160428,0.8058049978138767,LR,csp,S4,C1
318,0.6436781609195402,0.6432071472525469,0.6941176470588235,0.7042780748663101,LR,csp,S40,C3
319,0.6262626262626263,0.6259191176470588,0.663594470046083,0.662850479081379,LR,csp,S41,C2
320,0.5,0.4971590909090909,0.693069306930693,0.6932499075150232,LR,csp,S42,C3
321,0.6928571428571428,0.6928101095984307,0.672,0.668983908045977,LR,csp,S43,C1
322,0.7377049180327869,0.7354394814274021,0.9,0.8988127693254772,LR,csp,S45,C2
323,0.5337837837837838,0.5214674908799682,0.5686274509803921,0.5427653210581023,LR,csp,S47,C3
324,0.580952380952381,0.5814088598402324,0.616822429906542,0.6164156956437272,LR,csp,S48,C3
325,0.8707482993197279,0.8709285750657136,0.8881578947368421,0.8881143255489717,LR,csp,S49,C1
326,0.9578313253012049,0.9578420564141176,0.9615384615384616,0.9613830613830612,LR,csp,S5,C1
327,0.7285714285714285,0.7294162985800255,0.7882882882882883,0.7835085965092831,LR,csp,S50,C1
328,0.7083333333333334,0.7072173913043478,0.6869918699186992,0.6761425819962489,LR,csp,S51,C1
329,0.8783783783783784,0.8779328779328779,0.7843137254901961,0.7815015266830796,LR,csp,S52,C1
330,0.6138613861386139,0.6098676356997402,0.5714285714285714,0.5596641053339584,LR,csp,S53,C2
331,0.4969325153374233,0.4889344378162902,0.5089820359281437,0.5028817691556728,LR,csp,S54,C3
332,0.6335403726708074,0.626601009078943,0.5724137931034483,0.5486305890117142,LR,csp,S55,C3
333,0.6346153846153846,0.6343450297390364,0.5045045045045045,0.5031367325757193,LR,csp,S56,C3
334,0.8874172185430463,0.8872788679667551,0.9477124183006536,0.9475369264171531,LR,csp,S57,C1
335,0.5714285714285714,0.553258883248731,0.6568047337278107,0.6389849795175239,LR,csp,S58,C3
336,0.5333333333333333,0.5257181710011899,0.5168539325842697,0.4787458478120271,LR,csp,S6,C3
337,0.8571428571428571,0.8569218614467484,0.8493975903614458,0.849206130394959,LR,csp,S60,C1
338,0.704,0.6984088237236642,0.6967213114754098,0.696989243718075,LR,csp,S61,C2
339,0.6730769230769231,0.6739388671592063,0.6310679611650486,0.6286279344531771,LR,csp,S62,C3
340,0.5549132947976878,0.5539014973867376,0.6130952380952381,0.6203942826459383,LR,csp,S7,C3
341,0.8181818181818182,0.817941317941318,0.8247863247863247,0.8242571721111117,LR,csp,S8,C1
342,0.9347826086956522,0.9348685341123903,0.9623430962343096,0.96233516526488,LR,csp,S9,C1
343,0.8510638475418091,0.8333333134651184,0.7921348214149475,0.7730061411857605,LR,EEGNet,S1,C2
344,0.6227545142173767,0.6315789222717285,0.567415714263916,0.5497075915336609,LR,EEGNet,S10,C3
345,0.7684210538864136,0.738095223903656,0.6648044586181641,0.6551724076271057,LR,EEGNet,S11,C2
346,0.7515528202056885,0.7297297120094299,0.7151162624359131,0.6838709712028503,LR,EEGNet,S12,C3
347,0.8603351712226868,0.8603351712226868,0.8287292718887329,0.8426395654678345,LR,EEGNet,S13,C3
348,0.7760416865348816,0.7794871926307678,0.7061611413955688,0.7047619223594666,LR,EEGNet,S14,C2
349,0.5736842155456543,0.5621621608734131,0.572139322757721,0.5,LR,EEGNet,S15,C2
350,0.85161292552948,0.8413792848587036,0.6987179517745972,0.7251461744308472,LR,EEGNet,S16,C3
351,0.7761194109916687,0.765625,0.7307692170143127,0.6911764740943909,LR,EEGNet,S17,C3
352,0.6174496412277222,0.6225165724754333,0.4863013625144958,0.4755244851112366,LR,EEGNet,S18,C3
353,0.9253731369972228,0.9261083602905272,0.908108115196228,0.9017341136932372,LR,EEGNet,S19,C2
354,0.9528301954269408,0.9568965435028076,0.9245283007621764,0.9266055226325988,LR,EEGNet,S2,C1
355,0.9726027250289916,0.9740259647369384,0.9659863710403442,0.962406039237976,LR,EEGNet,S20,C1
356,0.5384615659713745,0.5531914830207825,0.4945054948329925,0.5400000214576721,LR,EEGNet,S21,C3
357,0.8350515365600586,0.8399999737739563,0.7176470756530762,0.7272727489471436,LR,EEGNet,S22,C3
358,0.9477611780166626,0.9496402740478516,0.9774436354637146,0.978723406791687,LR,EEGNet,S23,C2
359,0.8928571343421936,0.9032257795333862,0.8379888534545898,0.8323699235916138,LR,EEGNet,S24,C3
360,0.917582392692566,0.9090909361839294,0.7719298005104065,0.7692307829856873,LR,EEGNet,S25,C2
361,0.9425837397575378,0.946902632713318,0.9285714030265808,0.930875599384308,LR,EEGNet,S26,C2
