,test/acc,test/f1,val/acc,val/f1,Task,Model,Subject
0,0.3231884057971014,0.3096609043312268,0.3624192601291838,0.3277443203637015,2D,csp-MNE,S1
1,0.4291970802919708,0.4105790416969651,0.448556013963821,0.4336790333225661,2D,csp-MNE,S2
2,0.4580645161290322,0.4408017035087518,0.5070061014096361,0.5000137216099474,2D,csp-MNE,S20
3,0.348,0.3346077831764344,0.3916952642415923,0.3794126874850381,2D,csp-MNE,S23
4,0.351937984496124,0.2682079679166307,0.3668065128358805,0.3087516693587118,2D,csp-MNE,S26
5,0.4268456375838926,0.3817021349535483,0.3805555555555555,0.3402682541046811,2D,csp-MNE,S28
6,0.3445161290322581,0.2729028156508606,0.3165653495440729,0.2498583515027957,2D,csp-MNE,S29
7,0.4582278481012657,0.4607391093520785,0.487228482769884,0.478682578801285,2D,csp-MNE,S30
8,0.3828220858895705,0.3349081343497856,0.4625960264900662,0.4322867069573684,2D,csp-MNE,S36
9,0.408695652173913,0.3784745189117693,0.3815583119475335,0.3476994871091016,2D,csp-MNE,S38
10,0.5327868852459016,0.5209077203566769,0.5046371976647206,0.4945899261250598,2D,csp-MNE,S39
11,0.3950413223140496,0.3528215819526474,0.3441817404928073,0.3217617479676964,2D,csp-MNE,S4
12,0.3571428571428571,0.3482851628048695,0.3319587628865979,0.3291801894493656,2D,csp-MNE,S49
13,0.5978021978021978,0.5907644639769382,0.5587051018073668,0.5542333057422526,2D,csp-MNE,S5
14,0.3265306122448979,0.3134105041368284,0.3349647686155018,0.319477507072485,2D,csp-MNE,S51
15,0.6942857142857143,0.7013157505637324,0.6237288135593221,0.6217993134214873,2D,csp-MNE,S52
16,0.4522522522522522,0.4237523112849575,0.3527878787878787,0.3354517942992787,2D,csp-MNE,S57
17,0.4304347826086956,0.4228874447564728,0.4956798245614036,0.4768613617439314,2D,csp-MNE,S60
18,0.5383561643835616,0.5486808853949734,0.5694277553432483,0.566454621931524,2D,csp-MNE,S8
19,0.4866666666666666,0.4484998525300508,0.4987341772151898,0.4697318537244431,2D,csp-MNE,S9
20,0.3695652186870575,0.3634727001190185,0.418181836605072,0.4187792241573334,2D,EEGNet,S1
21,0.262773722410202,0.2692666053771972,0.3620689511299133,0.3657657206058502,2D,EEGNet,S2
22,0.4731183052062988,0.4721481502056122,0.3809524178504944,0.3962430357933044,2D,EEGNet,S20
23,0.3899999856948852,0.395186185836792,0.4146341383457184,0.4138615727424621,2D,EEGNet,S23
24,0.3488371968269348,0.3398611843585968,0.5,0.5044686794281006,2D,EEGNet,S26
25,0.5167785286903381,0.5032093524932861,0.4918032884597778,0.4710298180580139,2D,EEGNet,S28
26,0.3419354856014251,0.3230472207069397,0.4482758641242981,0.4285714328289032,2D,EEGNet,S29
27,0.4999999701976776,0.4887815713882446,0.5,0.4972514808177948,2D,EEGNet,S30
28,0.4110429286956787,0.3917751908302307,0.5714285969734192,0.5521082282066345,2D,EEGNet,S36
